SAMPLE	POPULATION	REGION	COUNTRY	STUDY
HG01879	ACB	America	ACB	GP
HG01880	ACB	America	ACB	GP
HG01881	ACB	America	ACB	GP
HG01882	ACB	America	ACB	GP
HG01883	ACB	America	ACB	GP
HG01884	ACB	America	ACB	GP
HG01885	ACB	America	ACB	GP
HG01886	ACB	America	ACB	GP
HG01887	ACB	America	ACB	GP
HG01888	ACB	America	ACB	GP
HG01889	ACB	America	ACB	GP
HG01890	ACB	America	ACB	GP
HG01891	ACB	America	ACB	GP
HG01894	ACB	America	ACB	GP
HG01895	ACB	America	ACB	GP
HG01896	ACB	America	ACB	GP
HG01897	ACB	America	ACB	GP
HG01912	ACB	America	ACB	GP
HG01914	ACB	America	ACB	GP
HG01915	ACB	America	ACB	GP
HG01916	ACB	America	ACB	GP
HG01956	ACB	America	ACB	GP
HG01958	ACB	America	ACB	GP
HG01959	ACB	America	ACB	GP
HG01960	ACB	America	ACB	GP
HG01985	ACB	America	ACB	GP
HG01986	ACB	America	ACB	GP
HG01987	ACB	America	ACB	GP
HG01988	ACB	America	ACB	GP
HG01989	ACB	America	ACB	GP
HG01990	ACB	America	ACB	GP
HG02009	ACB	America	ACB	GP
HG02010	ACB	America	ACB	GP
HG02011	ACB	America	ACB	GP
HG02012	ACB	America	ACB	GP
HG02013	ACB	America	ACB	GP
HG02014	ACB	America	ACB	GP
HG02051	ACB	America	ACB	GP
HG02052	ACB	America	ACB	GP
HG02053	ACB	America	ACB	GP
HG02054	ACB	America	ACB	GP
HG02055	ACB	America	ACB	GP
HG02095	ACB	America	ACB	GP
HG02107	ACB	America	ACB	GP
HG02108	ACB	America	ACB	GP
HG02111	ACB	America	ACB	GP
HG02143	ACB	America	ACB	GP
HG02144	ACB	America	ACB	GP
HG02145	ACB	America	ACB	GP
HG02255	ACB	America	ACB	GP
HG02256	ACB	America	ACB	GP
HG02257	ACB	America	ACB	GP
HG02258	ACB	America	ACB	GP
HG02280	ACB	America	ACB	GP
HG02281	ACB	America	ACB	GP
HG02282	ACB	America	ACB	GP
HG02283	ACB	America	ACB	GP
HG02284	ACB	America	ACB	GP
HG02307	ACB	America	ACB	GP
HG02308	ACB	America	ACB	GP
HG02309	ACB	America	ACB	GP
HG02314	ACB	America	ACB	GP
HG02315	ACB	America	ACB	GP
HG02316	ACB	America	ACB	GP
HG02317	ACB	America	ACB	GP
HG02318	ACB	America	ACB	GP
